"","recordTime","cognitoId","device","sensorname","lat","long"
"82",1423452144.235,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102165310469,-122.333155736289
"83",1423452144.576,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102173849527,-122.333157243905
"84",1423452144.912,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102184896537,-122.333160885755
"85",1423452145.245,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102185176766,-122.333160976384
"86",1423452145.579,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102183245831,-122.333160297184
"87",1423452145.921,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102184221037,-122.33316064018
"88",1423452146.256,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102184137997,-122.333160610973
"89",1423452146.593,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102184287614,-122.333160663596
"90",1423452146.928,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102184789902,-122.33316084026
"91",1423452147.262,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102184799286,-122.33316084356
"92",1423452147.596,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102184458017,-122.33316072353
"93",1423452147.93,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102185093258,-122.333160946956
"94",1423452148.268,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"95",1423452148.602,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"96",1423452148.936,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"97",1423452149.275,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"98",1423452149.609,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"99",1423452149.942,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"100",1423452150.278,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"101",1423452150.615,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"102",1423452150.95,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"103",1423452151.283,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"104",1423452151.619,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"105",1423452151.953,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"106",1423452152.287,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"107",1423452152.621,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"108",1423452152.954,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
"109",1423452153.288,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610218103309,-122.333187721335
